> #PAC_Juan de Fuca	
247.460	-25.790
247.450	-25.930
247.380	-25.930
247.330	-26.040
247.320	-26.280
247.340	-26.550
247.320	-26.800
247.050	-26.720
247.020	-26.830
246.890	-27.010
246.870	-27.270
246.870	-27.580
247.000	-27.610
247.030	-27.850
247.040	-28.130
247.070	-28.380
246.990	-28.380
246.980	-28.550
246.980	-28.790
247.040	-29.010
247.630	-29.160
248.190	-29.270
248.250	-29.580
248.230	-30.020
248.220	-30.190
248.200	-30.420
248.150	-30.620
248.110	-30.670
248.050	-31.040
248.020	-31.390
248.040	-31.390
247.980	-31.540
247.977	-31.536
247.959	-31.774
247.937	-31.948
247.935	-32.114
247.849	-32.343
247.644	-32.328
247.585	-32.489
247.582	-32.794
247.558	-33.112
247.540	-33.399
247.496	-33.650
247.396	-33.663
247.372	-33.999
247.438	-34.300
247.583	-34.556
247.813	-34.674
248.244	-34.811
248.601	-34.912
248.874	-34.995
>#Easter_PAC	
245.579	-22.115
245.495	-22.196
245.502	-22.543
245.433	-23.024
245.125	-23.040
245.038	-23.179
244.817	-23.237
244.746	-23.397
244.401	-23.468
244.576	-23.884
244.598	-24.017
244.518	-24.105
244.088	-24.242
244.032	-24.383
243.816	-24.458
243.775	-24.556
243.901	-24.847
243.510	-25.172
243.647	-25.416
243.972	-25.674
244.231	-25.968
244.482	-26.243
244.709	-26.466
244.895	-26.604
245.474	-26.725
246.056	-26.790
246.392	-26.809
247.024	-26.830
> #PAC_ANT	
161.228	-61.457
161.975	-61.763
162.579	-62.213
163.202	-62.660
163.773	-62.475
164.275	-62.322
164.768	-62.177
165.103	-62.077
165.653	-62.473
165.969	-62.668
166.620	-63.087
166.858	-63.221
167.550	-62.971
168.277	-62.773
168.708	-62.632
169.238	-62.446
169.605	-62.676
170.068	-62.972
170.441	-63.149
171.009	-63.447
171.640	-63.807
172.164	-64.097
172.520	-64.256
173.631	-64.738
174.242	-64.508
174.814	-64.315
175.162	-64.174
175.582	-63.984
176.063	-64.188
176.549	-64.410
176.819	-64.506
177.338	-64.736
177.889	-64.975
178.240	-65.079
178.759	-65.274
179.381	-65.477
179.963	-65.739
180.803	-65.986
181.207	-66.163
182.074	-65.862
182.928	-65.607
184.271	-65.183
184.930	-65.505
185.582	-65.835
186.291	-65.506
187.483	-64.978
188.700	-64.356
189.957	-64.858
190.161	-64.764
190.891	-64.245
191.621	-63.730
192.487	-63.106
193.392	-62.490
193.801	-62.606
194.851	-63.007
196.079	-63.467
196.999	-62.967
197.939	-62.394
198.662	-62.614
199.570	-62.923
200.112	-62.595
201.297	-63.004
201.606	-62.789
202.399	-63.070
203.283	-63.324
203.978	-62.952
204.746	-62.433
205.676	-61.776
205.676	-61.776
205.819	-61.836
206.339	-61.399
207.057	-60.841
207.881	-60.158
208.671	-59.469
209.618	-59.718
210.191	-59.314
210.736	-58.822
211.724	-58.130
212.308	-57.555
212.833	-57.638
213.319	-57.308
214.021	-56.669
214.588	-56.228
215.143	-55.784
215.518	-55.910
216.676	-56.263
217.914	-56.619
218.789	-56.839
219.675	-57.053
219.959	-56.772
220.455	-56.268
220.809	-55.725
220.422	-55.615
220.747	-55.251
221.201	-54.712
221.662	-54.141
222.110	-53.568
222.110	-53.568
222.478	-53.688
223.410	-53.907
223.820	-53.396
224.693	-53.643
225.795	-53.887
227.130	-54.237
227.874	-54.432
228.625	-54.623
229.941	-54.931
230.655	-55.129
231.376	-55.321
232.769	-55.565
233.200	-55.064
233.803	-55.138
234.923	-55.454
235.738	-55.587
236.558	-55.715
237.345	-55.873
238.138	-56.026
238.365	-55.832
238.772	-55.219
240.315	-54.642
241.419	-54.819
241.687	-54.350
241.963	-53.691
242.339	-53.124
241.023	-52.897
241.125	-52.752
241.578	-52.212
241.880	-51.772
242.176	-51.331
242.478	-50.875
242.775	-50.418
243.198	-49.893
243.612	-49.368
244.767	-49.589
245.444	-49.721
246.125	-49.849
246.255	-49.357
246.472	-48.841
246.685	-48.324
246.869	-47.773
247.050	-47.222
247.315	-46.539
247.574	-45.854
247.325	-45.833
247.450	-45.494
247.619	-44.938
247.784	-44.381
248.029	-43.774
248.270	-43.166
248.462	-42.683
248.651	-42.200
249.046	-42.249
