> #NAZ_SA	
283.688	-52.929
283.980	-53.435
284.280	-53.941
284.761	-54.294
285.251	-54.645
285.880	-55.004
286.520	-55.359
287.005	-55.665
287.723	-55.962
288.452	-56.255
289.599	-56.622
290.744	-56.852
291.903	-57.072
292.898	-57.502
294.133	-57.736
295.383	-57.959
296.429	-58.359
297.429	-58.603
298.960	-59.011
300.296	-59.453
301.030	-59.729
301.777	-59.999
>#PAC_AUS	
175.503	-42.059
176.081	-41.910
176.673	-41.756
177.123	-41.657
177.607	-41.500
178.015	-41.188
178.284	-40.807
178.566	-40.424
178.792	-40.087
178.950	-39.685
179.125	-39.230
179.215	-38.889
179.366	-38.538
179.569	-38.204
179.838	-37.476
180.189	-36.793
180.629	-36.179
180.956	-35.542
181.359	-35.022
181.461	-34.706
181.587	-34.485
181.706	-34.241
181.792	-33.846
182.019	-33.579
182.190	-33.191
182.334	-32.696
182.351	-32.203
182.462	-31.957
182.699	-31.793
182.892	-31.452
183.081	-31.037
183.310	-30.678
183.453	-30.322
183.661	-29.881
183.847	-29.469
183.922	-29.065
184.005	-28.697
184.115	-28.264
184.215	-27.784
184.455	-27.318
184.600	-26.857
184.577	-26.437
184.585	-26.025
184.618	-25.729
184.703	-25.426
184.739	-25.142
184.771	-24.836
184.791	-24.472
184.898	-24.070
185.015	-23.750
185.158	-23.513
185.337	-23.221
185.511	-22.906
185.677	-22.617
185.861	-22.290
186.048	-21.915
186.182	-21.526
186.297	-21.248
186.449	-20.893
186.597	-20.586
186.782	-20.204
186.947	-19.779
187.030	-19.461
187.126	-19.071
187.214	-18.777
187.302	-18.483
187.409	-18.152
187.460	-17.935
187.555	-17.677
187.626	-17.271
187.665	-16.963
187.689	-16.716
187.693	-16.332
187.700	-16.041
187.669	-15.732
187.645	-15.561
187.572	-15.373
187.398	-15.151
187.226	-15.033
187.061	-14.867
186.870	-14.785
186.727	-14.697
186.593	-14.584
>#AUS_PAC (Puseygnar)	
166.951	-44.987
167.100	-44.826
167.368	-44.648
167.688	-44.466
168.081	-44.330
168.488	-44.166
168.770	-44.021
166.951	-44.987
166.710	-45.211
166.537	-45.350
166.377	-45.515
166.205	-45.736
166.019	-45.887
165.920	-45.958
165.733	-46.065
165.427	-46.190
165.168	-46.405
165.021	-46.601
164.943	-46.783
164.923	-47.011
164.838	-47.148
164.739	-47.256
164.699	-47.444
164.651	-47.521
164.528	-47.658
164.480	-47.759
164.483	-47.920
164.398	-48.059
164.389	-48.202
164.309	-48.274
164.287	-48.429
164.215	-48.592
164.130	-48.742
163.964	-48.917
163.868	-49.116
163.740	-49.322
163.545	-49.573
163.448	-49.761
163.412	-49.847
163.296	-49.985
163.235	-50.079
>#PAC-Phillipine	
134.269	6.610
134.521	6.990
134.269	6.610
134.521	6.990
135.415	6.895
136.183	6.989
136.759	7.368
137.144	7.620
137.529	7.871
137.982	8.534
138.309	9.196
138.359	9.379
138.574	9.953
138.710	10.649
138.813	11.121
139.483	10.901
140.100	10.946
140.772	10.858
141.608	11.058
142.122	11.285
142.961	11.403
143.097	11.569
143.503	11.494
144.157	11.790
144.619	12.021
145.024	12.211
145.349	12.314
145.691	12.647
146.221	13.002
146.752	13.363
147.201	14.216
147.462	14.966
147.684	15.653
147.787	16.523
147.856	17.283
147.811	18.060
147.820	18.646
147.619	19.172
147.460	19.745
147.207	20.303
147.019	20.805
146.822	21.331
146.545	21.730
146.062	22.201
145.292	22.712
144.706	23.250
144.022	23.764
143.522	24.391
143.096	24.909
143.098	24.918
143.075	25.612
143.231	26.329
143.260	26.737
143.243	27.463
143.172	27.941
143.002	28.519
142.748	28.975
142.507	29.621
142.473	30.128
142.224	30.711
142.159	31.315
142.099	31.983
141.994	32.558
142.012	33.252
141.858	33.704
141.883	34.213
> #Burma/Sunda Trench	
92.517	14.384
92.068	13.715
91.889	13.154
91.700	12.283
91.643	11.792
91.591	11.300
91.576	10.514
91.559	10.056
91.533	9.604
91.596	9.130
91.651	8.656
91.781	8.160
91.903	7.663
92.278	6.948
92.376	6.333
92.537	5.702
92.665	5.005
92.903	4.384
93.227	3.716
93.754	3.048
94.405	2.457
94.979	2.104
95.542	1.882
96.089	1.487
96.202	1.345
96.380	1.123
96.670	0.759
97.011	0.116
97.372	-0.547
97.770	-1.247
98.035	-1.634
98.301	-2.021
98.874	-2.665
99.370	-3.312
99.675	-3.729
99.980	-4.145
100.359	-4.656
100.791	-5.305
101.346	-5.983
101.858	-6.558
102.452	-7.197
103.183	-7.621
103.763	-7.863
104.576	-8.167
104.981	-8.569
105.590	-8.926
106.123	-9.240
106.345	-9.371
106.827	-9.665
107.379	-9.890
107.836	-10.053
108.363	-10.178
109.067	-10.328
109.626	-10.371
110.159	-10.440
110.615	-10.477
111.015	-10.477
111.523	-10.577
112.170	-10.652
112.563	-10.758
113.204	-10.870
113.756	-10.964
114.410	-11.088
115.013	-11.151
115.571	-11.219
116.174	-11.275
116.853	-11.331
117.576	-11.337
118.236	-11.387
118.750	-11.362
119.270	-11.393
119.841	-11.462
120.451	-11.524
120.886	-11.493
> #Phillippines-W (Asia)	
121.575	24.691
121.779	24.255
122.140	23.949
122.501	23.643
123.010	23.469
123.518	23.454
124.026	23.438
124.534	23.420
125.042	23.401
125.550	23.380
125.954	23.498
126.426	23.761
126.901	24.101
127.398	24.503
127.907	24.969
128.462	25.458
128.978	25.859
129.360	26.191
129.785	26.671
130.211	27.213
130.523	27.709
130.649	28.136
131.097	28.318
131.309	28.451
131.467	28.751
131.524	28.859
131.628	28.987
131.760	29.392
132.073	29.818
132.402	30.215
132.630	30.493
132.824	30.754
132.965	30.970
133.197	31.216
133.500	31.515
134.042	31.882
134.691	32.200
135.026	32.326
135.356	32.460
135.612	32.537
136.025	32.686
136.524	32.868
137.030	33.053
137.546	33.405
138.066	33.750
138.383	34.059
138.508	34.582
138.674	35.034
139.234	35.014
139.429	34.860
139.923	34.713
140.440	34.631
140.870	34.529
141.104	34.439
141.441	34.356
141.883	34.213
> #PAC_AUS (New Hebrides)	
156.296	-8.174
156.467	-8.382
156.706	-8.563
156.782	-8.602
156.858	-8.615
156.935	-8.642
157.049	-8.706
157.177	-8.746
157.241	-8.784
157.317	-8.823
157.419	-8.900
157.572	-8.965
157.648	-9.004
157.724	-9.068
157.827	-9.107
157.916	-9.159
157.992	-9.210
158.056	-9.249
158.145	-9.313
158.273	-9.390
158.388	-9.442
158.478	-9.481
158.580	-9.507
158.709	-9.546
158.773	-9.559
158.850	-9.585
158.926	-9.624
159.003	-9.650
159.068	-9.688
159.119	-9.726
159.170	-9.765
159.221	-9.829
159.285	-9.880
159.362	-9.931
159.439	-9.969
159.503	-10.021
