> #NAmerica_Pacific (Canada/Alaska)	
61.848	21.126
62.096	21.425
62.132	22.083
62.502	22.385
62.877	22.683
63.631	23.201
64.275	23.694
64.651	24.038
65.028	24.382
>	
60.215	18.240
60.062	17.458
60.020	16.713
59.964	16.142
59.909	15.572
59.642	15.242
59.410	14.895
>	
68.274	-6.811
69.007	-6.538
69.806	-6.445
70.292	-6.474
70.786	-6.502
71.313	-6.599
71.834	-6.696
72.355	-6.867
72.884	-7.038
73.392	-7.039
73.544	-6.191
73.704	-5.778
73.770	-4.927
73.883	-4.307
74.358	-4.411
74.833	-4.514
75.518	-4.776
76.203	-5.038
76.779	-5.046
77.355	-5.055
77.981	-4.994
78.606	-4.932
79.141	-4.752
79.676	-4.573
80.374	-4.393
81.072	-4.213
81.701	-4.031
82.330	-3.848
82.796	-3.641
83.263	-3.433
83.729	-3.225
84.195	-3.017
84.987	-3.181
85.779	-3.344
86.501	-3.716
87.225	-4.088
87.923	-3.529
88.620	-2.969
88.828	-2.271
89.036	-1.574
89.430	-1.179
89.825	-0.783
90.630	-0.450
91.436	-0.117
92.241	0.216
93.046	0.549
93.852	0.882
94.415	1.493
94.979	2.104
>	
32.125	-46.998
32.663	-46.191
33.171	-45.382
33.678	-44.561
34.157	-43.747
34.636	-42.931
35.090	-42.103
35.528	-41.254
35.955	-40.403
36.371	-39.550
36.777	-38.696
37.174	-37.840
37.562	-36.984
36.721	-36.433
35.892	-35.876
35.075	-35.314
34.269	-34.746
33.474	-34.173
32.690	-33.595
31.917	-33.012
31.153	-32.425
30.400	-31.833
29.656	-31.236
28.921	-30.635
28.341	-29.849
>	
330.511	-55.033
329.094	-54.822
327.633	-54.585
326.266	-54.460
326.645	-54.860
326.942	-55.458
326.309	-55.605
325.409	-55.729
323.892	-55.642
323.154	-55.215
322.190	-55.086
321.285	-54.853
320.289	-54.633
319.340	-54.397
318.403	-54.154
317.590	-53.880
316.787	-53.600
315.791	-53.270
314.809	-52.931
313.586	-52.830
312.337	-52.691
310.837	-52.664
309.329	-52.710
307.824	-52.873
306.618	-53.209
305.259	-53.406
304.403	-53.530
303.543	-53.649
302.250	-53.626
300.754	-53.598
299.468	-53.674
298.067	-53.810
297.179	-53.917
296.287	-54.018
295.212	-54.173
294.129	-54.318
292.596	-54.394
291.011	-54.430
290.133	-54.231
289.487	-54.099
288.709	-53.923
287.918	-53.718
286.990	-53.313
285.965	-52.911
285.004	-52.556
284.257	-52.315
283.517	-52.068
>	
315.774	-60.243
316.849	-60.376
317.933	-60.501
318.786	-60.975
320.173	-60.634
320.907	-61.018
322.439	-61.243
323.582	-61.392
325.175	-60.989
326.554	-60.701
327.633	-60.409
328.986	-60.512
330.262	-60.575
331.257	-60.601
332.303	-60.617
>	
303.075	-60.565
303.731	-60.742
304.190	-60.700
304.933	-60.763
305.691	-60.978
305.699	-61.510
>	
281.354	7.337
281.771	7.510
281.987	7.637
282.293	7.829
282.466	8.012
282.669	8.105
282.851	8.190
283.094	8.443
283.316	8.731
283.299	9.017
283.294	9.379
283.297	9.761
283.406	10.090
283.544	10.328
283.725	10.574
283.936	10.765
284.095	11.087
284.369	11.390
284.630	11.595
284.877	11.764
285.204	11.914
285.524	12.021
285.693	12.224
285.942	12.386
286.126	12.743
286.368	13.058
286.697	13.290
287.084	13.368
287.572	13.410
288.160	13.465
288.805	13.503
289.048	13.438
289.341	13.310
289.504	13.162
289.817	12.930
290.137	12.668
290.406	12.450
290.652	12.175
290.976	11.844
291.270	11.513
291.621	11.174
291.913	10.814
292.039	10.500
292.501	10.592
293.131	10.667
293.563	10.662
294.036	10.653
294.474	10.615
294.879	10.600
295.003	10.539
295.492	10.474
295.790	10.519
296.122	10.532
>	
176.184	-16.552
176.377	-16.569
176.545	-16.557
176.671	-16.553
176.790	-16.545
176.883	-16.544
176.949	-16.524
177.035	-16.516
177.130	-16.505
177.190	-16.504
177.269	-16.506
177.412	-16.510
177.414	-16.301
177.345	-16.302
177.400	-16.212
177.588	-16.225
177.721	-16.229
177.806	-16.227
177.876	-16.222
178.007	-16.172
178.086	-16.149
178.171	-16.115
178.283	-16.110
178.402	-16.104
178.491	-16.092
178.524	-15.984
178.562	-15.897
178.936	-15.812
179.332	-15.729
